Task,table path,table,task ID,type of task,repetation,Condition,Order,C_answer,Participant ID,c_answer_row,c_answer_col,end,text,ans_value,mouse_file
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey. After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task.",candy.csv_bar.png,candy.csv,ca-9,Describing,1,bar,b-p-c-z,Candy Name,5,1,#1,TRUE,"You have finished one condition for the task.

",0,1
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey . After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task ",cereal.csv_plain.png,cereal.csv,ce-9,Describing,1,plain,b-p-c-z,Cereal Name,5,1,#1,TRUE,"You have finished one condition for the task.
",0,2
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey. After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task.",anime.csv_color.png,anime.csv,a-9,Describing,1,color,b-p-c-z,Name,5,1,#1,TRUE,"You have finished one condition for the task.
",0,3
"When you are done reading these instructions, you will see a data table. Please carefully look at the table and explore it. 

While you explore, describe aloud your thinking about what information this data table tries to convey. After this, describe any remarkable things that you find in this data. You will have 60 seconds in total for this task.",movie.csv_zebra.png,movie.csv,m-9,Describing,1,zebra,b-p-c-z,Film,5,1,#1,TRUE,"You have finished one type of task. 

",0,4
"Find the name of the Candy which has the highest ‘Pluribus’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white.  ",candy.csv_bar.png,candy.csv,ca-1-1,finding maximum vertical,1,bar,b-p-c-z,Pixie Sticks,5,20,#1,,,64,5
"Find the name of the Candy which has the highest ‘Hard’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white.",candy.csv_bar.png,candy.csv,ca-2-1,finding maximum vertical,2,bar,b-p-c-z,Good Bar,5,11,#1,,,63,6
"Find the name of the Candy which has the highest ‘Rating’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-3-1,finding maximum vertical,3,bar,b-p-c-z,Fruit Chews,5,17,#1,,,96,7
"Find the name of the Candy which has the highest ‘Bar’ value. 

Press space as soon as you have found the answer, and say the name of the Candy aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-4-1,finding maximum vertical,4,bar,b-p-c-z,Now Later,5,10,#1,TRUE,"You have finished one condition for the task.
",45,8
"Find the name of the cereal which has the highest ‘Potassium’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.  ",cereal.csv_plain.png,cereal.csv,ce-1-1,finding maximum vertical,1,plain,b-p-c-z,Cinnamon Toast,5,8,#1,,,80,9
"Find the name of the cereal which has the highest ‘Carbo’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white.",cereal.csv_plain.png,cereal.csv,ce-2-1,finding maximum vertical,2,plain,b-p-c-z,Fruit Fibre,5,29,#1,,,52,10
"Find the name of the cereal which has the highest ‘Iron’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-3-1,finding maximum vertical,3,plain,b-p-c-z,Cinnamon Toast,5,8,#1,,,66,11
"Find the name of the cereal which has the highest ‘Sugars’ value. 

Press space as soon as you have found the answer, and say the name of the cereal aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-4-1,finding maximum vertical,4,plain,b-p-c-z,Sweet Combo,5,12,#1,TRUE,"You have finished one condition for the task.
",59,12
"Find the name of the Anime which has the highest ‘Completed’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-1-1,finding maximum vertical,1,color,b-p-c-z,Magical Warfare,5,25,#1,,,73,13
"Find the name of the Anime which has the highest ‘Favorites’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-2-1,finding maximum vertical,2,color,b-p-c-z,Monster Hunter,5,6,#1,,,89,14
"Find the name of the Anime which has the highest ‘Dropped’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-3-1,finding maximum vertical,3,color,b-p-c-z,Fourth Stage,5,5,#1,,,98,15
"Find the name of the Anime which has the highest ‘Watching’ value. 

Press space as soon as you have found the answer, and say the name of the Anime aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-4-1,finding maximum vertical,4,color,b-p-c-z,Best Humanity,5,27,#1,TRUE,"You have finished one condition for the task.
",69,16
"Find the name of the film which has the highest ‘Roger Ebert’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-1-1,finding maximum vertical,1,zebra,b-p-c-z,Running Night,5,12,#1,,,55,17
"Find the name of the film which has the highest ‘Hulu’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.  ",movie.csv_zebra.png,movie.csv,m-2-1,finding maximum vertical,2,zebra,b-p-c-z,Fantastic Four,5,21,#1,,,65,18
"Find the name of the film which has the highest ‘Naver’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-3-1,finding maximum vertical,3,zebra,b-p-c-z,Water Diviner,5,19,#1,,,64,19
"Find the name of the film which has the highest ‘Film Comment’ value. 

Press space as soon as you have found the answer, and say the name of the film aloud once the screen becomes white.",movie.csv_zebra.png,movie.csv,m-4-1,finding maximum vertical,4,zebra,b-p-c-z,About Elly,5,16,#1,TRUE,"You have finished one type of task. Please take the survey that experimenter will hand it to you.
You might want to take a short break and wait for experimenter’s response.

",59,20
"For the Candy called ‘Haribo Cola’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-1-2,finding maximum horizontal,1,bar,b-p-c-z,Hard,5,1,#7,,,53,21
"For the Candy called ‘Berry Chews’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-2-2,finding maximum horizontal,2,bar,b-p-c-z,Rating,5,1,#11,,,48,22
"For the Candy called ‘Pop Rocks’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-3-2,finding maximum horizontal,3,bar,b-p-c-z,Hard,5,1,#7,,,53,23
"For the Candy called ‘Junior Mints’, find which attribute has the largest numerical value.

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",candy.csv_bar.png,candy.csv,ca-4-2,finding maximum horizontal,4,bar,b-p-c-z,Almond,5,1,#5,TRUE,"You have finished one condition for the task.
",38,24
"For the cereal called ‘Smile Maker’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white.",cereal.csv_plain.png,cereal.csv,ce-1-2,finding maximum horizontal,1,plain,b-p-c-z,Sugars,5,1,#8,,,53,25
"For the cereal called ‘Froot Loops’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-2-2,finding maximum horizontal,2,plain,b-p-c-z,Calories,5,1,#4,,,92,26
"For the cereal called ‘Lucky Charms’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white.",cereal.csv_plain.png,cereal.csv,ce-3-2,finding maximum horizontal,3,plain,b-p-c-z,Fat,5,1,#2,,,47,27
"For the cereal called ‘Sweet Combo’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",cereal.csv_plain.png,cereal.csv,ce-4-2,finding maximum horizontal,4,plain,b-p-c-z,Sugars,5,1,#8,TRUE,"You have finished one condition for the task.
",59,28
"For the Anime called ‘Metal Panic’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white.",anime.csv_color.png,anime.csv,a-1-2,finding maximum horizontal,1,color,b-p-c-z,On-Hold,5,1,#10,,,61,29
"For the Anime called ‘Fighting Animal’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-2-2,finding maximum horizontal,2,color,b-p-c-z,Plan to Watch,5,1,#12,,,71,30
"For the Anime called ‘First Stage’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-3-2,finding maximum horizontal,3,color,b-p-c-z,Favorites,5,1,#7,,,69,31
"For the Anime called ‘Fafnar Weapon’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the value aloud once the screen becomes white. ",anime.csv_color.png,anime.csv,a-4-2,finding maximum horizontal,4,color,b-p-c-z,Dropped,5,1,#11,TRUE,"You have finished one condition for the task.
",71,32
"For the film called ‘Crazy Adventure’, find which attribute has the largest numerical value. 

Press space as soon as you have found the answer, and say the attribute aloud once the screen becomes white. ",movie.csv_zebra.png,movie.csv,m-1-2,finding maximum horizontal,1,zebra,b-p-c-z,Rotten Tomatoes,5,1,#2,,,99,33
